order_date,region,category,sales,profit,month-year
14-03-2019,Central,Technology,574.91,156.047,Mar-2019
14-03-2019,West,Office Supplies,3.38,1.2506,Mar-2019
14-03-2019,West,Office Supplies,10.56,4.752,Mar-2019
15-03-2019,South,Furniture,45.696,5.1408,Mar-2019
15-03-2019,South,Office Supplies,7.218,-5.5338,Mar-2019
15-03-2019,South,Office Supplies,43.188,-31.6712,Mar-2019
15-03-2019,South,Office Supplies,131.904,47.8152,Mar-2019
15-03-2019,South,Office Supplies,142.776,17.847,Mar-2019
16-03-2019,South,Technology,471.92,29.495,Mar-2019
17-03-2019,Central,Office Supplies,93.78,36.5742,Mar-2019
17-03-2019,Central,Office Supplies,19.68,5.7072,Mar-2019
17-03-2019,Central,Office Supplies,35.88,17.2224,Mar-2019
17-03-2019,Central,Office Supplies,53.4,25.098,Mar-2019
17-03-2019,Central,Office Supplies,47.18,23.59,Mar-2019
17-03-2019,East,Office Supplies,126.624,41.1528,Mar-2019
17-03-2019,East,Furniture,1071.576,-553.6476,Mar-2019
17-03-2019,East,Furniture,1579.746,-447.5947,Mar-2019
17-03-2019,East,Furniture,613.908,-122.7816,Mar-2019
17-03-2019,East,Office Supplies,155.04,75.9696,Mar-2019
17-03-2019,East,Office Supplies,34.86,16.3842,Mar-2019
17-03-2019,Central,Office Supplies,4.448,0.3336,Mar-2019
17-03-2019,Central,Office Supplies,5.184,1.8792,Mar-2019
17-03-2019,Central,Office Supplies,15.552,5.4432,Mar-2019
17-03-2019,South,Office Supplies,32.67,8.4942,Mar-2019
17-03-2019,South,Office Supplies,30.44,14.9156,Mar-2019
17-03-2019,South,Office Supplies,11.43,5.3721,Mar-2019
17-03-2019,South,Office Supplies,16,7.68,Mar-2019
17-03-2019,South,Office Supplies,12.96,6.3504,Mar-2019
18-03-2019,West,Furniture,1198.33,70.49,Mar-2019
18-03-2019,West,Furniture,111,14.43,Mar-2019
18-03-2019,West,Office Supplies,1856.19,334.1142,Mar-2019
18-03-2019,West,Technology,1279.968,415.9896,Mar-2019
18-03-2019,South,Furniture,122.352,15.294,Mar-2019
18-03-2019,South,Furniture,30.768,8.0766,Mar-2019
18-03-2019,South,Office Supplies,8.016,1.002,Mar-2019
18-03-2019,South,Office Supplies,18.936,5.9175,Mar-2019
18-03-2019,South,Office Supplies,21.376,7.4816,Mar-2019
18-03-2019,South,Technology,22638.48,-1811.0784,Mar-2019
18-03-2019,South,Technology,821.3,-16.426,Mar-2019
19-03-2019,South,Furniture,20.016,5.5044,Mar-2019
19-03-2019,South,Furniture,4.992,1.3728,Mar-2019
19-03-2019,South,Office Supplies,33.57,-25.737,Mar-2019
19-03-2019,South,Office Supplies,11.808,3.9852,Mar-2019
19-03-2019,South,Office Supplies,26.16,1.962,Mar-2019
19-03-2019,South,Technology,170.24,53.2,Mar-2019
19-03-2019,South,Technology,323.976,28.3479,Mar-2019
21-03-2019,South,Office Supplies,16.272,-3.8646,Mar-2019
21-03-2019,East,Office Supplies,6.048,1.5876,Mar-2019
21-03-2019,East,Office Supplies,7.408,1.2038,Mar-2019
21-03-2019,South,Furniture,218.376,-10.9188,Mar-2019
21-03-2019,South,Furniture,32.952,6.5904,Mar-2019
21-03-2019,South,Office Supplies,59.2,22.2,Mar-2019
21-03-2019,South,Office Supplies,9.32,2.7028,Mar-2019
21-03-2019,South,Office Supplies,122.94,59.0112,Mar-2019
21-03-2019,South,Office Supplies,14.4,6.624,Mar-2019
21-03-2019,South,Office Supplies,122.97,60.2553,Mar-2019
21-03-2019,South,Technology,3499.93,909.9818,Mar-2019
22-03-2019,Central,Office Supplies,16.28,6.512,Mar-2019
22-03-2019,West,Furniture,314.352,-35.3646,Mar-2019
22-03-2019,West,Office Supplies,74.352,23.235,Mar-2019
22-03-2019,South,Office Supplies,51.465,-39.4565,Mar-2019
22-03-2019,South,Office Supplies,7.644,-5.8604,Mar-2019
23-03-2019,West,Office Supplies,330.4,85.904,Mar-2019
23-03-2019,West,Technology,604.752,37.797,Mar-2019
23-03-2019,South,Office Supplies,9.912,3.2214,Mar-2019
24-03-2019,West,Furniture,40.48,14.5728,Mar-2019
24-03-2019,East,Office Supplies,24.9,11.703,Mar-2019
25-03-2019,West,Office Supplies,25.44,9.9216,Mar-2019
25-03-2019,West,Office Supplies,14.88,3.72,Mar-2019
25-03-2019,West,Office Supplies,6.56,1.9024,Mar-2019
25-03-2019,West,Technology,45.48,15.918,Mar-2019
25-03-2019,East,Furniture,366.786,65.2064,Mar-2019
26-03-2019,West,Office Supplies,18.75,9,Mar-2019
26-03-2019,West,Technology,66.3,8.619,Mar-2019
26-03-2019,West,Office Supplies,3.36,0.84,Mar-2019
26-03-2019,West,Office Supplies,27.936,9.4284,Mar-2019
26-03-2019,West,Technology,28.784,2.8784,Mar-2019
28-03-2019,West,Technology,302.376,22.6782,Mar-2019
28-03-2019,East,Furniture,330.588,-143.2548,Mar-2019
28-03-2019,Central,Furniture,1184.72,106.6248,Mar-2019
28-03-2019,Central,Office Supplies,6.12,2.8764,Mar-2019
29-03-2019,Central,Furniture,890.841,-152.7156,Mar-2019
30-03-2019,East,Office Supplies,10.5,2.94,Mar-2019
30-03-2019,Central,Office Supplies,129.3,6.465,Mar-2019
30-03-2019,West,Furniture,205.666,-12.098,Mar-2019
30-03-2019,West,Office Supplies,44.4,22.2,Mar-2019
30-03-2019,West,Office Supplies,15.84,0,Mar-2019
30-03-2019,Central,Furniture,127.302,-9.093,Mar-2019
30-03-2019,Central,Office Supplies,335.72,113.3055,Mar-2019
30-03-2019,Central,Technology,251.944,88.1804,Mar-2019
30-03-2019,East,Office Supplies,49.65,20.853,Mar-2019
31-03-2019,South,Office Supplies,1.869,-1.3083,Mar-2019
31-03-2019,Central,Office Supplies,8.134,-13.8278,Mar-2019
31-03-2019,Central,Technology,79.984,13.9972,Mar-2019
31-03-2019,East,Office Supplies,0.852,-0.5964,Mar-2019
31-03-2019,West,Office Supplies,52.98,14.8344,Mar-2019
31-03-2019,West,Office Supplies,673.568,252.588,Mar-2019
31-03-2019,South,Furniture,1125.488,98.4802,Mar-2019
31-03-2019,South,Office Supplies,4.032,1.0584,Mar-2019
31-03-2019,South,Office Supplies,12.645,-10.116,Mar-2019
01-04-2019,East,Office Supplies,6.24,3.0576,Apr-2019
01-04-2019,East,Office Supplies,66.96,2.6784,Apr-2019
01-04-2019,West,Office Supplies,17.088,5.5536,Apr-2019
01-04-2019,West,Office Supplies,29.6,14.8,Apr-2019
02-04-2019,Central,Office Supplies,33.488,10.465,Apr-2019
02-04-2019,Central,Office Supplies,26.72,9.352,Apr-2019
02-04-2019,South,Furniture,177.68,46.1968,Apr-2019
02-04-2019,South,Office Supplies,154.9,40.274,Apr-2019
02-04-2019,South,Office Supplies,15.84,7.128,Apr-2019
02-04-2019,South,Technology,1049.93,293.9804,Apr-2019
03-04-2019,West,Office Supplies,11.16,5.58,Apr-2019
03-04-2019,West,Technology,159.98,57.5928,Apr-2019
03-04-2019,West,Technology,62.31,22.4316,Apr-2019
04-04-2019,West,Office Supplies,18.9,9.072,Apr-2019
04-04-2019,West,Office Supplies,7.184,2.245,Apr-2019
04-04-2019,Central,Furniture,5.47,2.3521,Apr-2019
04-04-2019,Central,Office Supplies,79.36,23.808,Apr-2019
04-04-2019,South,Office Supplies,12.96,6.3504,Apr-2019
04-04-2019,South,Office Supplies,19.44,9.3312,Apr-2019
04-04-2019,South,Office Supplies,232.55,9.302,Apr-2019
04-04-2019,South,Technology,99.98,42.9914,Apr-2019
05-04-2019,South,Office Supplies,22.96,6.6584,Apr-2019
05-04-2019,South,Office Supplies,22.96,7.5768,Apr-2019
05-04-2019,South,Office Supplies,12.96,6.3504,Apr-2019
05-04-2019,South,Office Supplies,4164.05,83.281,Apr-2019
05-04-2019,South,Technology,28.99,8.4071,Apr-2019
05-04-2019,East,Office Supplies,55.48,26.6304,Apr-2019
05-04-2019,Central,Office Supplies,26.7,7.476,Apr-2019
05-04-2019,Central,Office Supplies,13.89,4.5837,Apr-2019
05-04-2019,Central,Office Supplies,40.2,18.09,Apr-2019
05-04-2019,Central,Office Supplies,689.82,20.6946,Apr-2019
05-04-2019,Central,Office Supplies,52.096,3.9072,Apr-2019
05-04-2019,Central,Office Supplies,49.632,3.7224,Apr-2019
05-04-2019,South,Office Supplies,115.36,56.5264,Apr-2019
06-04-2019,West,Furniture,91.96,15.6332,Apr-2019
06-04-2019,West,Furniture,33.11,12.9129,Apr-2019
06-04-2019,West,Office Supplies,55.48,26.6304,Apr-2019
06-04-2019,West,Office Supplies,19.44,9.3312,Apr-2019
06-04-2019,East,Furniture,154.764,-36.1116,Apr-2019
06-04-2019,East,Office Supplies,10.304,-2.1896,Apr-2019
06-04-2019,East,Technology,116.784,21.897,Apr-2019
06-04-2019,East,Office Supplies,44.91,-35.928,Apr-2019
06-04-2019,West,Office Supplies,70.95,18.447,Apr-2019
06-04-2019,West,Office Supplies,65.568,23.7684,Apr-2019
06-04-2019,West,Technology,299.97,131.9868,Apr-2019
06-04-2019,West,Furniture,653.55,111.1035,Apr-2019
06-04-2019,West,Technology,33.9,2.034,Apr-2019
07-04-2019,South,Furniture,8.96,2.7776,Apr-2019
07-04-2019,South,Office Supplies,122.97,60.2553,Apr-2019
07-04-2019,South,Technology,629.95,163.787,Apr-2019
07-04-2019,South,Office Supplies,58.32,27.9936,Apr-2019
07-04-2019,South,Technology,200.97,50.2425,Apr-2019
08-04-2019,West,Office Supplies,2.368,0.8288,Apr-2019
08-04-2019,West,Office Supplies,19.008,6.8904,Apr-2019
08-04-2019,South,Furniture,1215.92,316.1392,Apr-2019
08-04-2019,East,Furniture,172.11,-94.6605,Apr-2019
08-04-2019,West,Furniture,99.592,2.4898,Apr-2019
08-04-2019,West,Technology,399.96,139.986,Apr-2019
08-04-2019,West,Office Supplies,49.792,-11.8256,Apr-2019
11-04-2019,South,Office Supplies,6.912,2.3328,Apr-2019
11-04-2019,South,Office Supplies,10.368,3.6288,Apr-2019
11-04-2019,South,Technology,335.944,41.993,Apr-2019
11-04-2019,South,Technology,383.976,81.5949,Apr-2019
11-04-2019,West,Office Supplies,87.08,24.3824,Apr-2019
11-04-2019,West,Technology,217.44,91.3248,Apr-2019
11-04-2019,West,Technology,105.584,9.2386,Apr-2019
11-04-2019,West,Office Supplies,9.584,3.3544,Apr-2019
11-04-2019,Central,Technology,758.352,265.4232,Apr-2019
12-04-2019,West,Office Supplies,39.68,16.2688,Apr-2019
12-04-2019,West,Furniture,308.499,-18.147,Apr-2019
12-04-2019,West,Office Supplies,18.088,6.5569,Apr-2019
12-04-2019,West,Technology,438.368,38.3572,Apr-2019
12-04-2019,West,Technology,1075.088,94.0702,Apr-2019
12-04-2019,Central,Office Supplies,32.4,15.552,Apr-2019
13-04-2019,East,Office Supplies,17.856,1.116,Apr-2019
13-04-2019,East,Office Supplies,509.97,-407.976,Apr-2019
13-04-2019,East,Office Supplies,30.992,10.0724,Apr-2019
13-04-2019,East,Technology,71.928,8.3916,Apr-2019
13-04-2019,East,Office Supplies,7.83,3.6018,Apr-2019
15-04-2019,West,Furniture,187.76,76.9816,Apr-2019
15-04-2019,West,Office Supplies,106.96,31.0184,Apr-2019
16-04-2019,South,Office Supplies,39.072,9.768,Apr-2019
18-04-2019,Central,Furniture,317.058,-18.1176,Apr-2019
18-04-2019,Central,Office Supplies,2.688,1.008,Apr-2019
18-04-2019,Central,Office Supplies,149.352,50.4063,Apr-2019
18-04-2019,Central,Technology,227.976,28.497,Apr-2019
18-04-2019,West,Office Supplies,10.75,3.5475,Apr-2019
18-04-2019,West,Office Supplies,13.12,3.8048,Apr-2019
18-04-2019,West,Office Supplies,11.62,3.6022,Apr-2019
18-04-2019,West,Technology,287.968,97.1892,Apr-2019
19-04-2019,South,Office Supplies,58.05,26.703,Apr-2019
19-04-2019,South,Office Supplies,71.28,34.2144,Apr-2019
19-04-2019,West,Furniture,76.14,26.649,Apr-2019
20-04-2019,West,Furniture,59.92,27.5632,Apr-2019
20-04-2019,Central,Furniture,744.1,-95.67,Apr-2019
20-04-2019,Central,Furniture,401.59,-131.951,Apr-2019
20-04-2019,Central,Office Supplies,44.84,5.605,Apr-2019
21-04-2019,South,Office Supplies,828.84,0,Apr-2019
21-04-2019,West,Office Supplies,16.52,5.5755,Apr-2019
22-04-2019,East,Office Supplies,9.912,3.3453,Apr-2019
22-04-2019,East,Office Supplies,247.84,121.4416,Apr-2019
23-04-2019,West,Office Supplies,48.91,22.9877,Apr-2019
23-04-2019,East,Office Supplies,2.502,-1.7514,Apr-2019
23-04-2019,East,Furniture,281.372,-12.0588,Apr-2019
23-04-2019,East,Furniture,281.372,-12.0588,Apr-2019
23-04-2019,East,Furniture,22.336,7.8176,Apr-2019
23-04-2019,East,Office Supplies,7.488,-5.2416,Apr-2019
25-04-2019,South,Technology,302.376,37.797,Apr-2019
25-04-2019,Central,Office Supplies,6.24,0.546,Apr-2019
25-04-2019,Central,Office Supplies,10.368,3.6288,Apr-2019
25-04-2019,West,Furniture,1487.04,148.704,Apr-2019
25-04-2019,West,Furniture,303.25,63.6825,Apr-2019
25-04-2019,West,Office Supplies,270.72,78.5088,Apr-2019
26-04-2019,West,Office Supplies,21.4,6.206,Apr-2019
26-04-2019,West,Office Supplies,12.6,5.796,Apr-2019
26-04-2019,West,Furniture,230.28,23.028,Apr-2019
26-04-2019,West,Office Supplies,18.288,5.715,Apr-2019
28-04-2019,East,Office Supplies,5.34,1.4952,Apr-2019
28-04-2019,East,Office Supplies,20.86,9.387,Apr-2019
28-04-2019,East,Office Supplies,3.15,1.512,Apr-2019
28-04-2019,East,Office Supplies,497.61,129.3786,Apr-2019
28-04-2019,West,Technology,1679.96,125.997,Apr-2019
28-04-2019,East,Technology,159.98,57.5928,Apr-2019
28-04-2019,East,Office Supplies,6.912,2.5056,Apr-2019
28-04-2019,East,Office Supplies,177.568,-37.7332,Apr-2019
28-04-2019,East,Office Supplies,27.096,2.0322,Apr-2019
29-04-2019,South,Furniture,561.584,70.198,Apr-2019
29-04-2019,South,Office Supplies,99.92,-1.249,Apr-2019
29-04-2019,East,Technology,19.98,5.1948,Apr-2019
29-04-2019,East,Furniture,17.46,5.9364,Apr-2019
29-04-2019,South,Furniture,51.96,12.99,Apr-2019
29-04-2019,South,Office Supplies,17.94,8.6112,Apr-2019
30-04-2019,South,Technology,47.79,16.2486,Apr-2019
30-04-2019,South,Office Supplies,174.95,45.487,Apr-2019
30-04-2019,South,Office Supplies,826,214.76,Apr-2019
02-05-2019,East,Office Supplies,26.136,1.9602,May-2019
02-05-2019,South,Technology,479.984,89.997,May-2019
03-05-2019,Central,Office Supplies,21.56,10.3488,May-2019
03-05-2019,East,Office Supplies,10.896,3.9498,May-2019
03-05-2019,East,Office Supplies,40.176,14.5638,May-2019
04-05-2019,Central,Office Supplies,37.84,2.838,May-2019
04-05-2019,Central,Office Supplies,5.472,1.8468,May-2019
04-05-2019,Central,Office Supplies,46.8,21.06,May-2019
04-05-2019,West,Furniture,12.18,3.8976,May-2019
04-05-2019,West,Office Supplies,57.68,19.0344,May-2019
04-05-2019,East,Furniture,27.46,9.8856,May-2019
05-05-2019,Central,Furniture,127.869,-9.1335,May-2019
05-05-2019,South,Office Supplies,11.88,5.346,May-2019
05-05-2019,South,Office Supplies,35.44,16.6568,May-2019
05-05-2019,Central,Office Supplies,45.248,3.9592,May-2019
05-05-2019,South,Office Supplies,6.56,1.9024,May-2019
05-05-2019,South,Office Supplies,24.56,11.5432,May-2019
05-05-2019,South,Office Supplies,9.42,4.239,May-2019
06-05-2019,West,Office Supplies,140.736,52.776,May-2019
06-05-2019,West,Office Supplies,107.94,30.2232,May-2019
06-05-2019,West,Office Supplies,5.78,2.7166,May-2019
07-05-2019,East,Furniture,872.32,244.2496,May-2019
07-05-2019,East,Furniture,194.25,-38.85,May-2019
07-05-2019,East,Office Supplies,8.64,2.5056,May-2019
07-05-2019,East,Office Supplies,16.14,7.9086,May-2019
08-05-2019,East,Technology,1799.97,239.996,May-2019
09-05-2019,West,Technology,167.97,40.3128,May-2019
09-05-2019,West,Technology,67.8,4.068,May-2019
09-05-2019,South,Office Supplies,9.45,4.536,May-2019
09-05-2019,South,Office Supplies,20.65,9.499,May-2019
09-05-2019,South,Office Supplies,45.36,21.7728,May-2019
09-05-2019,South,Office Supplies,83.25,14.985,May-2019
10-05-2019,West,Furniture,256.784,32.098,May-2019
